,created_by,name,description,directions,glass,image_url
142,,Black Russian,Black Russian,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/2k5gbb1504367689.jpg
143,,Black and Brown,Black and Brown,Combine ingredients,Beer Pilsner,http://www.thecocktaildb.com/images/media/drink/wwuvxv1472668899.jpg
144,,Blackthorn,Blackthorn,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/xvswvy1441209430.jpg
145,,Bleeding Surgeon,Bleeding Surgeon,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/usuvvr1472719118.jpg
146,,Blind Russian,Blind Russian,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/wxuqvr1472720408.jpg
147,,Bloody Maria,Bloody Maria,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/yz0j6z1504389461.jpg
148,,Bloody Mary,Bloody Mary,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/uyquuu1439906954.jpg
149,,Blue Lagoon,Blue Lagoon,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/vak0e51504389504.jpg
150,,Blue Margarita,Blue Margarita,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/qtvvyq1439905913.jpg
151,,Blue Mountain,Blue Mountain,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/vsxssp1441209853.jpg
152,,Bluebird,Bluebird,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/vxypsq1441209971.jpg
153,,Bob Marley,Bob Marley,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg
154,,Bobby Burns Cocktail,Bobby Burns Cocktail,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/km6se51484411608.jpg
155,,Boomerang,Boomerang,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg
156,,Boozy Snickers Milkshake,Boozy Snickers Milkshake,Combine ingredients,Mason Jar,http://www.thecocktaildb.com/images/media/drink/861tzm1504784164.jpg
157,,Bora Bora,Bora Bora,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg
158,,Boston Sidecar,Boston Sidecar,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/qzs5d11504365962.jpg
159,,Boston Sour,Boston Sour,Combine ingredients,Whiskey Sour Glass,http://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg
160,,Bourbon Sling,Bourbon Sling,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/3s36ql1504366260.jpg
161,,Bourbon Sour,Bourbon Sour,Combine ingredients,Whiskey Sour Glass,http://www.thecocktaildb.com/images/media/drink/dms3io1504366318.jpg
162,,Boxcar,Boxcar,Combine ingredients,Whiskey Sour Glass,http://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg
163,,Brain Fart,Brain Fart,Combine ingredients,Punch Bowl,http://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg
164,,Brainteaser,Brainteaser,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/ruywtq1461866066.jpg
165,,Bramble,Bramble,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/lvzl3r1504372526.jpg
